cutoff_date,rank,ticker,company,cik,total_score,selected_top_10,indicator_Return on equity,indicator_Net profit margin,indicator_Margin consistency,indicator_Liabilities to assets,indicator_Positive free cash flow,indicator_Revenue growth,indicator_Earnings growth,points_Return on equity,points_Net profit margin,points_Margin consistency,points_Liabilities to assets,points_Positive free cash flow,points_Revenue growth,points_Earnings growth
2022-09-10,63,IBM,INTERNATIONAL BUSINESS MACHINES CORP,51143,58,False,0.290799534153628,0.10013949433304271,0.02971726942320471,0.8560919993030356,5,-0.07735269824636015,-0.0004348394296682656,20,8,10,0,20,0,0
2022-09-10,64,ROST,"Ross Stores, Inc.",745732,55,False,0.46868770142666877,0.09106400826718031,0.037344989808580864,0.7023479617977845,5,0.07556542303919489,0.06033019922329608,20,0,5,0,20,5,5
2022-09-10,65,CRM,"Salesforce, Inc.",1108524,55,False,0.028988998634867102,0.054507020987467916,0.06376454150910021,0.3894379733008434,5,0.2591240922929232,0.41519463376596133,0,0,0,15,20,10,10
2022-09-10,66,SHW,THE SHERWIN-WILLIAMS COMPANY,89800,55,False,0.6165343915343915,0.09347893665453305,0.01864622231933023,0.8820711579497452,5,0.07411514653738904,0.019189926235315458,20,0,10,0,20,5,0
2022-09-10,67,UNP,UNION PACIFIC CORP,100885,55,False,0.4192294096854012,0.29916529077233533,0.0918730757529411,0.7770798898071626,5,0.00657332076980488,-0.11662683204948532,20,15,0,0,20,0,0
2022-09-10,68,KMI,"KINDER MORGAN, INC.",1506307,51,False,0.0573089834401452,0.1074051776038531,0.060905842829282596,0.5466797318791183,5,0.04923470754036807,0.7669975204361497,0,8,0,8,20,5,10
2022-09-10,69,CAT,CATERPILLAR INC,18230,50,False,0.27605950616021674,0.06339814032121724,0.021562328442691934,0.8231021555763823,5,-0.013447808596544375,-0.06554270375231752,20,0,10,0,20,0,0
2022-09-10,70,RSG,"REPUBLIC SERVICES, INC.",1060391,48,False,0.147789014361958,0.09686416250056298,0.008838026518072268,0.6401963534361851,5,0.02495315210121496,0.002344535306646467,10,0,10,8,20,0,0
2022-09-10,71,T,AT&T INC.,732717,46,False,0.1224432554381793,0.11891818267955277,0.07027625246234258,0.6984674287827534,5,0.012708361374495158,-0.09129062366560192,10,8,0,8,20,0,0
2022-09-10,72,WCN,"Waste Connections, Inc.",1318220,46,False,0.08926019397018142,0.10047321235089275,0.030201281646505623,0.5242461797761675,5,0.07358420399646781,0.01740967405215832,0,8,5,8,20,5,0
2022-09-10,73,F,Ford Motor Co,37996,45,False,0.2778070836473248,0.04929859987429626,0.04751706234472447,0.8721751695009448,5,0.02478671434208879,-0.2228526606742458,20,0,5,0,20,0,0
2022-09-10,74,WMB,"WILLIAMS COMPANIES, INC.",107263,43,False,0.13082097274922386,0.14274960007527995,0.10000587077233027,0.760081492060825,5,0.07253201243203566,-0.08603090598088514,10,8,0,0,20,5,0
2022-09-10,75,TMUS,"T-MOBILE US, INC.",1283699,36,False,0.04498460348392663,0.03774432711750168,0.026259545260501536,0.6654676781417775,2,0.18519639022366574,-0.09639799639015523,0,0,10,8,8,10,0
2022-09-10,76,DIS,WALT DISNEY CO/,1744489,33,False,0.0231793465631826,0.029591503752706992,0.09540140437869199,0.5650830758954664,5,0.051557882142435174,-0.3134587430066422,0,0,0,8,20,5,0
2022-09-10,77,RTX,RTX CORPORATION,101829,28,False,0.053211779854163366,0.06001118220786482,0.07351350512922367,0.5371923868057793,5,0.018494717788903214,-0.04013818262828239,0,0,0,8,20,0,0
2022-09-10,78,OKE,ONEOK INC /NEW/,1039684,27,False,0.09990080979926476,0.07173866064670141,0.034473071585062305,0.7381835258523922,3,-0.010785699445553076,0.14863908243893276,0,0,5,0,12,0,10
2022-09-10,79,DAL,"DELTA AIR LINES, INC.",27904,26,False,0.10330197380557093,0.009364861701060236,0.31908690103050225,0.9463558702162602,4,-0.07727142239521034,-0.4563335923997607,10,0,0,0,16,0,0
2022-09-10,80,JCI,JOHNSON CONTROLS INTERNATIONAL PLC,833444,24,False,0.09351880944899883,0.06916511745817137,0.07171415487390101,0.5807591310575316,4,0.008997606829293625,0.004010569443752443,0,0,0,8,16,0,0
2022-09-10,81,TRGP,TARGA RESOURCES CORP.,1389170,23,False,0.03052060784019547,0.004200639535569741,0.0746772218638077,0.8677161005247169,2,0.17757017379841167,0.07157249696213852,0,0,0,0,8,10,5
2023-09-10,1,FAST,FASTENAL CO,815556,100,True,0.35030779643536275,0.15570294817064437,0.0024901823623836076,0.3045772325550719,5,0.0889079994167048,0.09649681869680093,20,15,10,15,20,10,10
2023-09-10,2,GRMN,GARMIN LTD,1121788,100,True,0.1580687712033747,0.20031434364150588,0.019594521178539683,0.19749015996285169,5,0.09770875077083208,0.08828109756273417,20,15,10,15,20,10,10
2023-09-10,3,MSFT,MICROSOFT CORPORATION,789019,100,True,0.38823923919895914,0.3414623787839464,0.02463848291516823,0.499429578422044,5,0.13915588701778225,0.16531648536401877,20,15,10,15,20,10,10
2023-09-10,4,MPWR,"Monolithic Power Systems, Inc.",1280452,100,True,0.3005383186836994,0.24394420081286494,0.024624317606873593,0.18956036884041605,5,0.3248374022888818,0.42795031946157747,20,15,10,15,20,10,10
2023-09-10,5,SNPS,SYNOPSYS INC,883241,100,True,0.18214902752435466,0.19375890231744616,0.019467122421441958,0.4097325709562887,5,0.1295967131249054,0.22832488290951103,20,15,10,15,20,10,10
2023-09-10,6,TER,"TERADYNE, INC.",97210,100,True,0.28541619047505074,0.22677996668827227,0.025400096117229282,0.2998807283794483,5,0.10701908691345352,0.12181450554024265,20,15,10,15,20,10,10
2023-09-10,7,ADBE,ADOBE INC.,796343,95,True,0.3297282307265668,0.27013518118823127,0.05282997287150289,0.4827535431621572,5,0.18166191057008807,0.16397488115440262,20,15,5,15,20,10,10
2023-09-10,8,GOOGL,Alphabet Inc.,1652044,95,True,0.23621299817440264,0.2120380715326196,0.031478051885014444,0.29874282710587413,5,0.1990769889877595,0.18188520520497575,20,15,5,15,20,10,10
2023-09-10,9,DHR,DANAHER CORPORATION,313616,95,True,0.1513716679440204,0.2290680308855772,0.03592044360560431,0.4062596324836989,5,0.12150848863730723,0.2841516805096742,20,15,5,15,20,10,10
2023-09-10,10,MA,Mastercard Incorporated,1141391,95,True,0.43274772585237137,0.3733525041936257,0.03936204173327768,0.4737396433085241,5,0.131093071432979,0.20805937705108435,20,15,5,15,20,10,10
2023-09-10,11,APH,AMPHENOL CORPORATION,820313,93,False,0.28568210488376283,0.1507011011645409,0.00410274047188956,0.5371259672978299,5,0.11380895251176004,0.12091579843173261,20,15,10,8,20,10,10
2023-09-10,12,LRCX,LAM RESEARCH CORPORATION,707549,93,False,0.6226896047068379,0.25882473298357705,0.01931128450165923,0.5628618859383069,5,0.1591596059454008,0.19780092835496776,20,15,10,8,20,10,10
2023-09-10,13,ANET,"Arista Networks, Inc.",1596532,90,False,0.3051403250297256,0.30868530188459614,0.0676983851181273,0.2788893956232907,5,0.194599336242941,0.42486415847745795,20,15,0,15,20,10,10
2023-09-10,14,REGN,"REGENERON PHARMACEUTICALS, INC.",872589,90,False,0.20941862485760074,0.35639822885261524,0.06813847855823194,0.22422084923582467,5,0.24019366296465883,0.15422195001307082,20,15,0,15,20,10,10
2023-09-10,15,TXN,TEXAS INSTRUMENTS INCORPORATED,97476,90,False,0.6269437477606593,0.43683842620331537,0.035647290488734086,0.46421876722902194,5,0.06134145481742537,0.11900249380946737,20,15,5,15,20,5,10
2023-09-10,16,VRTX,VERTEX PHARMACEUTICALS INC / MA,875320,90,False,0.2766869198382523,0.3719753210834537,0.1452904877402485,0.23349806345690846,5,0.308374257912007,0.12190396841556272,20,15,0,15,20,10,10
2023-09-10,17,ABT,ABBOTT LABORATORIES,1800,88,False,0.19128683368281646,0.15882069960827436,0.031510643917961885,0.5071603213412504,5,0.09307825491488675,0.3080817168436405,20,15,5,8,20,10,10
2023-09-10,18,AMAT,APPLIED MATERIALS INC /DE,6951,88,False,0.5339388732048607,0.2530541012216405,0.03179253664437461,0.5437401781037192,5,0.11462855281783635,0.2105930787573016,20,15,5,8,20,10,10
2023-09-10,19,CTAS,Cintas Corporation,723254,88,False,0.37589955190763424,0.15290895212885003,0.014567311373712971,0.5478791194750137,5,0.06346685796394236,0.11093792221003129,20,15,10,8,20,5,10
2023-09-10,20,MRK,"Merck & Co., Inc.",310158,88,False,0.344971784971785,0.24491000792807383,0.04826420950494147,0.5786826676438256,5,0.08808507438322688,0.23605154029958264,20,15,5,8,20,10,10
2023-09-10,21,PFE,PFIZER INC,78003,88,False,0.3629716189793014,0.3126881291737267,0.057257695752531604,0.5136178088790853,5,0.2520629218956947,0.2950532497892633,20,15,5,8,20,10,10
2023-09-10,22,ACN,Accenture plc,1467373,86,False,0.3303508100565308,0.11165267633103418,0.00625626714582916,0.5322786410369633,5,0.10715633258318857,0.14083648765862566,20,8,10,8,20,10,10
2023-09-10,23,CMG,"CHIPOTLE MEXICAN GRILL, INC.",1058090,86,False,0.38543386554241793,0.1041270684678433,0.02340392763873726,0.6581708216985511,5,0.1542259478970447,0.5022193257586438,20,8,10,8,20,10,10
2023-09-10,24,AAPL,Apple Inc.,320193,85,False,1.7545929220653644,0.2530964070519973,0.020651851177881615,0.8563535598361469,5,0.10384839443037341,0.13788953824822503,20,15,10,0,20,10,10
2023-09-10,25,IDXX,IDEXX LABORATORIES INC /DE,874716,85,False,1.0457747536245052,0.20167022834749493,0.022809084616676883,0.778380385653669,5,0.11061619139869072,0.15847698150972844,20,15,10,0,20,10,10
2023-09-10,26,INTU,INTUIT INC.,896878,85,False,0.14144170869178285,0.16592427616926503,0.03180303318449242,0.3783657307415407,5,0.20636192058017322,0.11238317030526823,10,15,5,15,20,10,10
2023-09-10,27,CVX,Chevron Corp,93410,83,False,0.23774170518419704,0.1440191348699706,0.07050258771257789,0.37820565055935185,5,0.10305310138626433,0.24367996880598808,20,8,0,15,20,10,10
2023-09-10,28,DVN,DEVON ENERGY CORP/DE,1090012,83,False,0.5888687649909442,0.3137878866920549,0.3365413548991056,0.5292356983263775,5,0.21157741982234257,0.18368656319842813,20,15,0,8,20,10,10
